id,instance_id,user_id,status,waitlist,created_at,updated_at,sync_completed_on,async_completed_on,waitlisted_on,enrolled_on,canceled_on,absent_on,async_active_on
4425,231,1305,enroll,,2023-04-08 18:47:53.316224,2023-04-08 18:47:53.316224,,,,,,,
4426,231,830,enroll,,2023-04-08 20:51:09.406393,2023-04-08 20:51:09.406393,,,,,,,
4427,233,1010,waitlist,19,2023-04-09 00:13:43.773486,2023-04-13 23:08:44.342945,,,,,,,
4428,232,1010,enroll,,2023-04-09 00:15:08.042086,2023-04-09 00:15:08.042086,,,,,,,
4429,183,1307,enroll,,2023-04-09 02:42:17.155740,2023-04-09 02:42:17.155740,,,,,,,
4430,183,1308,enroll,,2023-04-09 02:49:14.635122,2023-04-09 02:49:14.635122,,,,,,,
4431,233,1309,waitlist,20,2023-04-09 13:15:44.264658,2023-04-13 23:08:44.348491,,,,,,,
4432,231,1310,cancel,,2023-04-09 16:08:02.993059,2023-04-11 20:24:02.675631,,,,,,,
4433,233,97,waitlist,21,2023-04-09 16:28:39.402412,2023-04-13 23:08:44.353537,,,,,,,
4434,183,1311,enroll,,2023-04-09 16:59:53.398412,2023-04-09 16:59:53.398412,,,,,,,
4435,231,944,enroll,,2023-04-09 23:22:00.867542,2023-04-09 23:22:00.867542,,,,,,,
4436,233,564,waitlist,22,2023-04-10 01:30:14.949577,2023-04-13 23:08:44.359108,,,,,,,
4437,233,235,waitlist,23,2023-04-10 01:33:56.789874,2023-04-13 23:08:44.364243,,,,,,,
4438,231,1313,cancel,,2023-04-10 02:30:36.972743,2023-04-11 15:39:47.938162,,,,,,,
4439,231,1314,cancel,,2023-04-10 02:32:51.151229,2023-04-11 16:01:31.480056,,,,,,,
4440,231,754,enroll,,2023-04-10 04:49:17.425451,2023-04-10 19:04:21.942169,,,,,,,
4441,233,754,waitlist,24,2023-04-10 04:49:50.801687,2023-04-13 23:08:44.369179,,,,,,,
4442,233,1267,waitlist,25,2023-04-10 14:54:26.442953,2023-04-13 23:08:44.374041,,,,,,,
4443,183,1012,enroll,,2023-04-10 16:26:06.673957,2023-04-10 16:26:06.673957,,,,,,,
4444,186,554,absent,,2023-04-10 16:30:26.253393,2023-04-19 16:10:31.736516,,,,,,,
4445,233,1206,waitlist,26,2023-04-10 16:30:39.150609,2023-04-13 23:08:44.378624,,,,,,,
4446,183,905,cancel,,2023-04-10 16:38:25.033475,2023-04-10 16:38:58.923786,,,,,,,
4447,162,636,enroll,,2023-04-10 16:55:06.930786,2023-04-10 16:55:06.930786,,,,,,,
4448,163,1179,enroll,,2023-04-10 16:56:18.754207,2023-04-10 16:56:18.754207,,,,,,,
4449,183,191,enroll,,2023-04-10 17:24:18.670001,2023-04-10 17:24:18.670001,,,,,,,
4450,183,1236,enroll,,2023-04-10 17:26:04.597855,2023-04-10 17:26:04.597855,,,,,,,
4451,233,1317,waitlist,27,2023-04-10 18:06:54.528535,2023-04-13 23:08:44.383114,,,,,,,
4452,233,988,waitlist,28,2023-04-10 20:15:36.581439,2023-04-13 23:08:44.387580,,,,,,,
4453,232,937,cancel,,2023-04-10 20:57:15.074724,2023-04-12 15:47:14.129332,,,,,,,
4454,233,898,waitlist,29,2023-04-10 21:03:06.814626,2023-04-13 23:08:44.393217,,,,,,,
4455,237,496,enroll,,2023-04-10 21:41:25.415722,2023-04-10 21:41:25.415722,,,,,,,
4456,233,926,waitlist,30,2023-04-10 22:11:46.566110,2023-04-13 23:08:44.401854,,,,,,,
4457,231,1319,enroll,,2023-04-10 22:20:01.749061,2023-04-10 22:20:01.749061,,,,,,,
4458,231,1320,enroll,,2023-04-10 22:23:21.216620,2023-04-11 15:12:01.164979,,,,,,,
4459,237,523,enroll,,2023-04-10 22:38:58.686444,2023-04-10 22:38:58.686444,,,,,,,
4460,237,544,enroll,,2023-04-10 22:40:47.211183,2023-04-10 22:40:47.211183,,,,,,,
4461,233,1044,waitlist,31,2023-04-10 23:31:10.475835,2023-04-13 23:08:44.410802,,,,,,,
4462,233,119,waitlist,32,2023-04-11 00:26:02.046034,2023-04-13 23:08:44.420850,,,,,,,
4463,231,119,enroll,,2023-04-11 00:26:22.198754,2023-04-11 15:39:48.604026,,,,,,,
4464,237,32,enroll,,2023-04-11 03:06:15.191230,2023-04-11 03:06:15.191230,,,,,,,
4465,233,1125,waitlist,33,2023-04-11 04:11:08.140294,2023-04-13 23:08:44.426413,,,,,,,
4466,194,1321,active,,2023-04-11 11:54:41.113288,2023-04-11 11:54:43.142852,,,,,,,
4467,100,1321,active,,2023-04-11 11:59:14.042720,2023-04-11 11:59:15.671961,,,,,,,
4468,232,143,enroll,,2023-04-11 13:26:38.540925,2023-04-11 13:26:38.540925,,,,,,,
4469,233,143,waitlist,34,2023-04-11 13:27:12.090921,2023-04-13 23:08:44.431884,,,,,,,
4470,233,891,waitlist,35,2023-04-11 15:45:34.670375,2023-04-13 23:08:44.438074,,,,,,,
4471,231,957,enroll,,2023-04-11 16:05:57.052566,2023-04-11 16:05:57.052566,,,,,,,
4472,237,486,enroll,,2023-04-11 16:22:33.271740,2023-04-11 16:22:33.271740,,,,,,,
4473,233,1235,waitlist,36,2023-04-11 16:38:41.761471,2023-04-13 23:08:44.443356,,,,,,,
